"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('G',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('A', 'G')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('B', 'G')","('C', 'D')","('C', 'E')","('C', 'F')","('C', 'G')","('D', 'E')","('D', 'F')","('D', 'G')","('E', 'F')","('E', 'G')","('F', 'G')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'B', 'G')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'C', 'G')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'D', 'G')","('A', 'E', 'F')","('A', 'E', 'G')","('A', 'F', 'G')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'C', 'G')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'D', 'G')","('B', 'E', 'F')","('B', 'E', 'G')","('B', 'F', 'G')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'D', 'G')","('C', 'E', 'F')","('C', 'E', 'G')","('C', 'F', 'G')","('D', 'E', 'F')","('D', 'E', 'G')","('D', 'F', 'G')","('E', 'F', 'G')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'C', 'G')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'D', 'G')","('A', 'B', 'E', 'F')","('A', 'B', 'E', 'G')","('A', 'B', 'F', 'G')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'D', 'G')","('A', 'C', 'E', 'F')","('A', 'C', 'E', 'G')","('A', 'C', 'F', 'G')","('A', 'D', 'E', 'F')","('A', 'D', 'E', 'G')","('A', 'D', 'F', 'G')","('A', 'E', 'F', 'G')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'D', 'G')","('B', 'C', 'E', 'F')","('B', 'C', 'E', 'G')","('B', 'C', 'F', 'G')","('B', 'D', 'E', 'F')","('B', 'D', 'E', 'G')","('B', 'D', 'F', 'G')","('B', 'E', 'F', 'G')","('C', 'D', 'E', 'F')","('C', 'D', 'E', 'G')","('C', 'D', 'F', 'G')","('C', 'E', 'F', 'G')","('D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'D', 'G')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'C', 'E', 'G')","('A', 'B', 'C', 'F', 'G')","('A', 'B', 'D', 'E', 'F')","('A', 'B', 'D', 'E', 'G')","('A', 'B', 'D', 'F', 'G')","('A', 'B', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'G')","('A', 'C', 'D', 'F', 'G')","('A', 'C', 'E', 'F', 'G')","('A', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'G')","('B', 'C', 'D', 'F', 'G')","('B', 'C', 'E', 'F', 'G')","('B', 'D', 'E', 'F', 'G')","('C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'G')","('A', 'B', 'C', 'D', 'F', 'G')","('A', 'B', 'C', 'E', 'F', 'G')","('A', 'B', 'D', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F', 'G')"
34,27,26,26,21,35,20,45,49,29,19,49,27,29,26,21,39,17,20,14,38,15,26,55,16,35,10,14,56,27,14,50,26,33,13,58,22,14,60,11,23,8,14,14,6,31,12,24,44,11,28,4,6,10,29,7,14,2,11,47,5,13,11,27,5,50,22,10,52,12,15,3,3,7,38,16,8,2,20,18,1,9,7,7,12,6,5,0,0,30,2,7,4,11,0,7,1,8,5,28,17,0,0,0,9,0,0,3,2,0,10,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0
32,27,26,26,20,35,21,38,46,21,23,40,26,30,22,18,32,13,19,15,40,23,23,48,11,30,12,12,49,12,23,40,17,18,14,59,33,17,40,2,33,6,10,11,9,28,12,16,24,3,21,3,4,7,30,10,19,5,11,38,6,7,10,7,16,54,19,7,13,0,31,4,3,2,44,4,28,1,15,29,1,6,6,3,3,8,14,0,1,21,1,1,2,11,1,6,4,7,0,1,0,32,0,0,12,0,0,3,8,1,12,3,3,2,0,0,0,1,3,0,0,0,0,0,3,0,0
32,26,26,24,20,34,20,37,43,24,23,29,19,30,16,12,26,17,20,15,30,19,22,56,5,29,10,13,35,11,15,27,20,27,13,39,8,15,42,3,24,2,6,7,7,20,21,5,19,3,9,1,6,13,38,2,21,1,2,36,4,6,3,6,8,36,5,0,20,3,7,0,6,9,44,2,19,0,2,25,0,4,0,3,10,0,7,0,0,6,0,6,0,21,0,0,0,2,0,12,0,9,0,0,0,0,6,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,25,21,21,33,20,41,41,21,16,32,23,31,15,13,27,21,17,13,24,15,12,54,10,19,9,12,30,16,12,29,29,21,15,31,12,11,38,5,11,2,5,13,9,15,11,12,27,2,13,3,5,10,24,2,15,0,1,18,3,11,2,18,10,23,9,9,22,2,10,1,2,12,30,1,13,0,1,10,1,8,0,10,18,0,11,0,0,14,2,4,2,13,0,1,0,2,9,25,0,12,0,0,7,0,4,0,12,0,1,0,0,13,0,0,0,2,0,12,0,0,0,0,0,0,0
30,24,25,19,20,36,20,35,49,12,13,23,26,32,13,15,22,15,13,13,23,13,11,38,10,18,9,13,42,9,12,20,19,15,10,35,14,6,11,4,14,1,2,14,12,24,9,8,15,5,12,3,6,7,15,3,13,4,1,10,1,11,1,11,10,38,10,6,9,2,14,1,1,5,15,1,16,1,0,5,0,1,0,6,16,3,14,2,1,8,1,5,1,8,0,2,0,1,4,14,1,20,1,0,5,0,1,0,6,0,0,0,0,8,0,2,0,1,0,6,0,0,0,0,0,0,0
32,25,22,18,19,36,20,34,49,7,15,17,22,26,14,16,22,14,12,14,10,16,12,32,10,23,13,13,37,1,14,11,16,4,20,3,14,6,6,0,11,6,5,9,13,5,13,8,20,3,16,6,6,4,9,4,9,7,2,17,1,4,5,0,18,2,10,1,0,0,7,6,4,2,1,0,6,7,2,7,0,0,2,4,4,4,7,7,2,11,1,2,4,6,0,0,4,2,0,0,0,4,7,2,0,0,0,2,2,0,0,4,0,5,0,0,4,2,0,0,0,0,4,0,0,0,0
32,24,24,19,20,34,21,33,47,8,18,15,15,22,15,12,32,15,9,16,15,12,8,35,10,25,11,23,38,2,14,12,9,5,17,7,8,4,5,0,10,1,8,4,6,13,11,2,28,8,4,4,22,1,4,1,12,3,9,14,1,17,5,0,12,9,8,2,1,0,2,0,11,0,1,0,6,1,7,4,0,0,1,0,2,0,0,0,12,1,0,22,2,1,1,1,2,2,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,24,26,19,19,33,23,24,49,10,20,19,11,17,13,13,31,13,12,18,14,8,12,46,9,21,7,25,29,3,15,17,5,7,28,10,1,5,18,4,15,2,11,2,15,7,5,0,18,6,11,0,14,5,16,1,8,2,5,23,3,23,9,2,22,7,2,0,8,0,8,0,8,2,9,0,8,0,3,14,2,9,3,0,6,0,2,0,6,0,0,7,0,10,1,2,2,10,0,6,0,2,0,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0
27,26,25,19,19,31,21,26,38,12,18,22,10,21,15,14,28,13,10,12,12,11,16,42,9,18,13,15,21,8,13,17,8,6,12,6,4,9,20,1,10,3,6,3,8,5,3,7,20,1,13,2,7,4,16,3,7,6,7,27,6,10,9,3,7,4,2,4,10,0,11,1,3,3,9,1,3,0,4,13,0,5,0,1,4,0,4,1,0,13,0,0,0,10,0,4,3,7,1,4,0,4,0,0,8,0,0,0,4,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
26,26,25,19,18,32,22,31,43,10,15,18,9,24,14,11,26,12,11,10,12,13,17,29,10,22,13,20,29,9,8,20,13,12,10,6,6,6,9,1,5,1,3,8,3,8,7,5,12,2,6,3,5,2,13,2,4,4,8,21,8,12,13,7,2,9,10,3,8,2,6,2,4,4,3,0,0,0,0,2,1,1,1,0,7,0,0,0,0,2,2,2,2,4,1,2,2,11,0,7,0,0,0,0,2,2,2,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0
22,26,25,17,17,33,21,27,35,11,12,18,7,29,11,9,28,5,10,11,17,10,11,23,8,27,11,22,33,3,9,15,3,12,15,11,1,1,7,3,4,1,4,4,8,7,2,4,8,0,6,1,1,2,9,0,3,1,4,12,3,10,20,2,10,9,1,0,1,0,4,1,1,0,1,0,4,0,0,0,0,2,0,2,1,0,1,0,0,2,0,0,0,0,0,0,1,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,24,16,16,32,21,27,32,14,7,18,7,29,9,11,16,7,13,15,12,10,10,16,5,26,9,19,40,7,5,9,5,3,12,10,1,2,8,2,3,1,4,5,10,0,1,4,1,1,6,1,4,4,5,2,4,1,6,9,4,6,17,0,7,0,0,2,2,0,0,0,3,0,1,0,4,0,0,1,1,1,1,2,0,1,0,1,0,0,1,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,25,24,17,15,30,20,33,39,11,8,16,9,30,14,13,27,13,10,11,12,11,10,25,8,20,6,15,68,10,7,21,5,2,15,5,4,1,8,4,4,2,2,3,7,3,3,4,14,3,8,3,5,2,8,3,3,2,8,18,1,7,4,1,14,1,1,0,8,2,3,2,2,0,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,3,0,2,1,0,0,3,3,2,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
22,28,22,16,15,27,19,41,42,6,8,12,7,33,16,7,17,18,10,4,12,12,14,25,9,15,11,10,89,8,3,13,7,5,1,2,6,0,6,1,2,4,0,7,0,3,7,5,17,9,2,0,1,0,5,5,3,2,7,11,3,4,6,2,0,2,6,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,25,23,17,15,26,21,27,38,10,6,11,14,25,17,7,17,19,13,5,8,15,12,31,16,13,14,14,25,10,2,5,12,14,1,1,14,0,6,5,2,4,5,14,3,5,13,4,14,6,8,3,5,2,4,8,7,3,8,8,8,9,8,12,0,0,12,0,4,6,0,0,0,0,0,4,1,0,1,0,0,3,1,0,0,8,6,2,3,4,1,0,4,4,2,4,7,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
24,24,23,18,17,25,19,23,45,14,9,9,16,20,12,11,16,18,10,5,4,14,14,27,19,18,10,19,27,13,4,8,10,17,6,4,19,3,7,8,3,4,6,7,3,3,11,6,10,9,11,6,10,4,1,8,3,5,3,14,13,21,10,12,2,2,11,0,8,5,2,2,0,4,0,13,2,3,3,0,1,3,2,2,1,5,3,2,1,7,7,8,6,1,4,1,2,14,0,0,8,2,0,0,0,0,0,0,0,2,0,1,0,1,2,1,1,8,1,0,0,0,0,0,0,1,0
24,26,23,18,18,24,21,25,42,16,13,8,11,20,12,10,15,15,14,9,3,10,14,25,13,20,10,19,23,10,4,2,5,27,19,0,4,7,7,7,3,4,3,9,2,0,6,7,10,7,9,5,9,5,3,3,0,0,0,14,7,18,12,14,0,0,2,4,1,4,2,2,1,6,0,1,0,0,0,1,5,2,2,2,0,0,0,0,0,8,5,9,6,0,0,0,0,10,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0
21,27,23,19,18,26,19,18,29,8,12,6,16,20,8,11,21,12,10,14,4,14,13,30,10,11,7,15,19,1,2,2,4,9,22,1,18,8,6,1,1,2,0,4,8,4,5,5,13,3,12,2,8,10,4,0,3,0,0,8,2,23,4,0,0,0,2,0,2,0,0,1,0,14,1,0,1,0,0,1,1,0,0,8,4,0,4,0,0,8,1,7,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
23,27,23,19,23,24,18,24,31,8,16,3,11,20,11,17,17,11,11,16,7,13,15,26,6,13,12,12,23,7,7,1,5,10,13,3,13,2,3,0,0,6,0,9,10,5,3,8,14,3,11,5,6,7,8,0,4,4,0,12,2,12,2,11,4,2,2,2,2,0,0,4,0,2,5,0,0,3,0,0,0,0,0,11,7,0,4,0,0,8,1,6,2,4,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
24,27,22,18,24,25,20,28,36,11,14,8,6,22,12,20,15,12,13,19,7,11,14,24,8,13,11,17,30,11,10,6,1,14,16,6,5,6,7,1,0,1,0,10,13,3,2,10,11,1,7,2,4,9,8,0,5,6,0,7,3,13,2,12,9,2,1,5,6,0,0,0,0,10,4,0,0,1,0,0,0,0,0,6,5,0,2,1,0,5,0,2,0,5,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
26,30,23,19,23,27,19,36,34,10,17,13,7,20,15,18,16,11,12,20,15,9,13,22,8,12,13,11,23,10,11,18,6,3,13,4,4,8,7,1,3,3,4,2,11,0,1,9,9,5,3,4,6,5,14,2,6,4,0,6,4,5,3,2,6,0,1,6,6,2,2,2,4,2,1,1,1,3,0,2,1,0,0,2,0,1,0,1,0,1,4,4,1,4,1,0,0,1,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
27,30,30,22,22,28,19,35,43,18,16,16,9,24,19,21,12,14,15,23,26,8,20,24,7,17,12,17,31,14,12,12,7,11,18,11,5,13,9,1,10,3,2,5,10,0,3,12,3,5,4,6,10,9,22,0,10,3,5,9,6,5,1,4,7,0,4,4,2,1,8,0,2,8,3,0,7,2,0,5,0,0,0,4,0,0,0,0,0,0,5,4,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,30,31,21,22,25,19,34,38,22,13,11,12,27,25,26,12,20,12,18,28,11,21,23,8,20,15,13,23,26,12,2,7,6,9,11,5,8,7,5,6,3,3,4,11,4,2,20,6,6,4,16,7,7,20,4,11,6,11,18,8,6,8,5,7,0,1,8,3,5,0,1,0,2,0,0,4,1,1,6,2,4,2,3,0,0,0,0,0,2,6,0,3,9,2,5,5,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,31,33,23,22,24,18,38,50,22,18,13,14,39,32,25,21,20,23,18,18,15,22,32,14,15,22,13,45,21,15,10,9,15,12,6,14,10,13,7,5,4,3,17,15,11,6,24,37,17,13,18,11,8,18,9,6,5,5,25,12,15,11,6,9,2,4,9,15,6,5,2,4,5,5,9,1,3,2,7,2,4,3,2,7,4,0,0,3,30,16,22,10,6,0,0,1,15,1,2,3,0,0,0,10,4,8,4,1,0,0,1,4,0,0,0,0,22,0,0,0,0,0,8,0,0,0
34,32,34,23,20,26,18,40,67,26,23,18,19,45,39,24,27,17,32,23,21,17,24,38,17,13,18,15,67,26,16,16,13,37,25,14,25,17,20,16,6,10,9,27,19,15,15,29,49,19,17,12,12,23,21,20,11,10,9,26,14,22,9,27,21,7,21,17,21,16,6,7,5,20,9,26,4,16,5,11,9,10,4,17,14,15,7,7,4,37,17,29,11,15,11,11,3,18,17,5,23,1,13,2,11,8,8,3,5,17,6,3,5,9,7,5,1,27,5,2,14,3,1,4,4,2,2
33,30,31,23,21,26,19,35,62,42,29,26,25,37,38,19,35,19,31,25,24,18,22,42,17,14,15,17,56,32,14,19,15,47,41,29,38,26,56,29,10,19,20,33,20,24,18,25,49,24,21,12,19,14,35,18,6,13,12,39,17,28,11,40,29,25,27,9,18,15,0,10,5,20,38,31,1,36,17,33,18,39,7,11,27,14,3,13,8,57,20,37,18,10,6,14,1,36,12,27,16,0,29,4,0,6,4,0,1,18,20,0,26,6,4,7,0,56,1,0,12,2,0,0,0,0,0
35,30,31,24,21,27,22,48,66,44,28,39,23,31,38,15,33,17,42,28,30,20,21,59,19,19,9,22,45,58,19,36,22,64,43,56,38,28,87,32,24,17,23,38,10,26,16,23,65,18,14,9,11,21,72,29,16,11,21,39,16,46,11,49,4,33,24,19,87,28,9,11,15,34,97,53,32,27,32,45,25,66,16,8,43,20,4,6,16,37,9,25,2,26,15,53,11,32,4,54,29,4,4,21,22,11,41,3,47,35,73,22,40,4,4,31,4,3,25,4,4,44,4,4,45,4,4
37,32,31,23,21,30,21,47,62,51,22,50,21,34,38,18,34,22,58,24,53,22,16,54,18,22,8,22,51,48,20,47,18,112,39,99,28,28,83,27,24,10,28,57,18,44,16,20,61,20,17,6,18,35,133,42,29,9,35,32,6,36,9,66,15,70,15,17,59,21,18,9,20,78,210,53,60,15,48,49,11,51,14,22,107,35,12,4,19,32,4,31,6,72,14,90,12,10,20,110,29,16,4,14,26,7,28,9,138,26,111,22,19,40,4,68,0,4,21,44,4,50,0,7,41,0,0
33,30,30,23,20,28,22,36,46,40,19,45,25,31,29,14,30,18,46,26,52,19,17,43,19,23,10,16,41,28,18,44,19,64,34,68,18,32,66,21,29,11,16,46,21,50,12,14,40,8,17,5,11,39,101,25,37,7,20,30,7,14,6,53,27,62,10,21,44,6,30,12,17,58,124,24,51,6,13,56,10,12,9,35,97,10,33,1,11,26,1,6,5,79,9,23,4,4,43,107,7,48,2,8,40,2,4,12,106,10,15,4,6,78,1,10,1,1,5,92,2,6,2,2,6,1,2
33,29,32,24,18,28,23,33,51,39,23,57,26,42,24,16,26,22,38,24,44,24,20,45,15,31,8,18,57,19,22,37,16,42,38,81,19,28,74,13,50,6,21,41,19,39,23,11,26,11,16,7,17,14,52,17,28,6,21,48,4,15,9,33,38,55,23,8,25,8,20,5,15,22,75,10,56,8,21,74,0,7,6,7,31,10,11,5,21,15,6,13,9,33,1,13,5,7,9,35,11,23,9,24,6,0,5,5,60,0,5,8,0,4,0,6,4,10,2,4,0,6,8,0,0,0,0
35,26,35,17,19,24,23,31,55,27,26,38,27,30,15,18,21,21,28,25,36,29,14,31,10,33,13,22,31,11,28,36,23,44,34,60,30,17,29,9,45,13,27,14,10,17,24,10,16,9,30,9,18,12,26,16,25,16,30,35,6,18,19,8,22,32,24,13,22,8,60,16,31,21,35,16,46,16,41,29,9,20,29,2,12,8,10,4,18,22,8,17,22,12,8,24,23,16,1,11,5,42,14,28,38,12,22,42,8,8,30,31,27,0,0,12,8,22,16,0,0,10,28,38,16,0,0
35,28,36,17,18,24,21,29,63,18,26,34,22,27,18,17,26,21,33,28,39,29,8,27,7,19,12,15,27,14,13,27,18,40,48,65,34,7,20,9,33,12,22,20,7,22,16,5,25,4,15,9,13,15,32,16,19,6,25,11,1,6,9,16,5,17,14,1,14,7,28,11,19,24,48,23,36,15,45,6,3,9,23,6,20,5,4,0,5,8,0,2,9,11,5,14,6,1,1,19,6,1,0,5,1,0,6,27,19,14,27,15,3,4,0,2,0,0,5,1,0,4,0,0,14,0,0
34,30,33,17,19,22,21,31,50,20,27,24,24,25,19,12,23,19,21,25,32,33,11,17,8,14,11,14,14,12,12,13,14,23,40,27,29,12,9,8,12,17,17,13,3,28,20,6,12,5,6,5,9,13,9,11,16,20,24,10,6,2,3,7,4,4,7,6,3,2,2,2,5,14,10,7,21,34,22,3,7,3,7,3,4,7,0,2,15,5,1,2,0,7,9,0,9,0,2,3,0,0,1,0,0,0,3,0,3,10,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
34,30,31,17,19,20,20,29,45,21,29,23,21,23,15,12,20,12,14,12,29,25,12,16,5,12,9,9,14,16,14,14,6,16,19,27,14,18,17,4,5,12,10,2,2,11,6,6,11,1,7,1,0,6,16,4,3,4,12,7,1,5,2,3,3,2,5,9,5,1,1,1,0,11,21,2,5,5,7,2,1,7,2,1,0,0,0,0,0,4,1,0,0,2,0,5,2,0,1,0,0,0,0,0,0,1,0,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,28,30,18,20,21,18,30,44,19,30,22,24,17,19,17,20,11,13,11,29,18,13,13,5,14,8,7,12,14,22,16,7,10,19,24,18,15,4,6,12,10,12,6,4,14,7,9,12,3,12,2,5,4,7,3,5,3,15,14,5,2,2,3,5,10,1,5,0,3,12,4,2,8,4,3,5,3,13,2,7,1,2,0,3,1,5,2,10,11,2,2,2,0,1,3,4,2,0,0,0,5,1,2,0,3,0,2,0,2,1,2,0,0,0,2,4,2,0,0,0,0,2,0,0,0,0
34,29,32,18,19,22,19,31,56,22,27,28,20,25,17,22,17,18,20,14,25,19,18,21,8,20,9,12,23,10,23,14,8,28,24,45,21,15,12,9,23,9,15,13,14,15,10,15,13,4,13,6,4,12,21,6,18,7,13,29,7,8,11,10,16,13,6,5,9,1,11,4,3,22,33,9,37,10,21,22,10,10,17,7,13,3,11,5,3,16,4,3,4,28,10,14,16,11,6,12,1,13,2,1,10,2,1,3,53,17,23,29,20,11,4,3,4,4,24,13,2,1,2,2,43,4,2
36,28,29,20,19,23,20,32,51,26,27,27,29,27,21,22,14,21,16,11,23,22,24,27,10,19,10,23,26,19,23,10,29,24,24,32,25,20,13,15,5,13,26,12,9,8,11,26,15,8,5,10,10,9,13,10,5,8,16,26,8,15,7,17,11,8,14,20,10,13,0,18,18,14,13,14,3,11,22,1,9,21,2,4,3,5,0,4,8,10,10,7,0,7,8,14,6,6,8,8,10,0,8,14,0,14,18,0,1,8,19,2,1,0,4,5,0,0,8,0,8,14,0,0,1,0,0
38,25,28,20,18,22,25,34,54,26,33,16,41,30,22,21,9,20,13,10,13,29,27,22,15,11,17,20,41,15,17,10,24,20,26,19,43,30,13,26,3,39,20,9,7,7,25,30,15,12,4,12,9,6,7,7,0,11,10,15,22,8,3,12,15,10,30,14,8,8,2,6,14,15,9,13,0,21,19,1,41,11,4,5,5,4,0,4,6,8,19,4,2,0,7,5,0,1,9,5,3,0,0,11,2,7,7,2,0,14,9,0,1,0,4,3,0,1,0,0,0,5,0,1,0,0,0
35,25,27,23,17,22,24,34,58,21,19,13,32,20,24,16,8,22,11,10,8,29,25,26,16,7,13,13,34,17,17,10,23,15,16,11,44,18,9,17,4,17,11,7,7,2,16,20,7,15,2,11,8,8,1,7,2,13,5,11,27,2,1,10,11,4,20,13,9,15,4,12,11,7,1,10,2,16,8,5,29,2,2,4,0,7,0,8,3,2,22,2,2,1,8,0,0,1,5,0,8,0,9,5,4,23,4,4,1,9,0,0,2,0,7,0,0,2,0,0,8,0,0,4,0,0,0
33,26,24,19,16,23,25,35,40,22,19,22,29,23,19,14,13,23,10,10,8,23,20,32,9,12,8,9,30,22,9,17,24,14,4,14,30,16,28,14,11,8,11,12,9,6,22,14,14,13,6,7,6,6,3,10,0,6,5,17,6,7,4,22,1,13,22,10,25,17,8,3,10,2,7,14,0,2,4,15,5,14,4,4,5,12,0,6,3,7,8,7,4,0,4,2,0,4,1,13,20,0,0,4,10,5,14,4,0,0,4,0,4,0,3,2,0,4,0,0,0,4,0,4,0,0,0
33,27,27,19,17,22,26,31,45,22,16,30,26,23,12,17,12,23,13,11,11,26,22,34,7,14,6,12,30,13,9,13,16,15,6,14,27,14,36,9,6,6,10,11,7,8,16,9,6,4,2,8,4,5,4,10,1,4,3,21,2,9,2,17,3,7,18,6,6,5,0,5,1,2,4,8,0,3,2,9,5,10,3,3,5,6,1,3,1,1,1,1,0,1,2,1,0,4,2,6,8,0,3,0,0,1,1,0,0,2,0,0,6,1,2,0,0,0,0,0,2,0,0,0,0,0,0
30,26,27,19,16,19,27,25,42,15,14,22,32,22,12,16,9,22,18,10,17,25,17,34,4,9,8,18,19,3,6,4,12,12,8,17,34,7,31,7,8,6,21,6,5,5,16,10,3,1,1,2,5,11,34,3,8,3,16,18,3,15,4,2,0,4,10,1,1,0,1,0,2,4,25,6,6,2,25,15,4,25,6,4,1,0,0,0,6,0,0,0,0,24,3,14,4,12,0,1,0,0,0,6,0,0,0,0,14,4,24,6,14,0,0,0,0,0,12,0,0,0,0,0,14,0,0
35,26,24,17,15,18,27,28,48,11,8,10,38,23,18,13,8,22,9,7,15,23,13,25,9,9,8,14,24,8,3,4,23,3,4,8,40,2,4,5,3,4,7,6,8,8,11,8,10,4,7,5,5,1,14,1,2,2,12,10,4,13,4,2,2,8,18,1,0,2,3,1,7,0,0,1,2,1,12,3,1,3,3,1,7,0,2,1,9,4,0,0,3,0,0,1,2,7,0,0,0,2,1,12,0,0,0,3,0,0,0,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0
36,27,28,20,17,17,28,34,61,13,8,9,38,28,15,15,11,25,7,10,5,31,16,30,11,15,9,10,39,6,7,5,27,3,2,0,55,5,2,6,4,1,5,2,7,4,14,10,7,3,5,4,7,1,0,7,0,3,2,24,3,1,3,0,2,0,30,6,0,0,3,1,4,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,2,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,29,27,20,20,17,27,36,61,18,22,13,33,30,18,18,16,26,15,16,5,27,16,30,11,15,12,12,41,10,15,11,20,21,25,8,51,14,4,10,15,8,6,3,9,6,18,8,13,4,11,4,7,8,0,10,3,11,1,23,1,4,4,4,6,8,28,5,2,3,11,1,2,17,0,18,5,20,2,4,3,1,8,0,0,2,4,1,1,5,0,1,1,0,4,0,2,0,0,0,3,4,1,1,2,0,0,1,0,12,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39,28,27,21,21,17,28,33,56,21,29,15,39,33,22,21,18,25,14,21,8,26,17,32,8,15,15,10,31,10,28,8,22,15,29,15,42,17,13,7,11,15,3,5,21,6,23,14,32,3,13,10,8,7,4,4,5,14,1,27,3,2,3,3,21,10,15,9,4,3,7,11,3,7,6,7,9,18,2,11,2,1,6,1,1,1,4,11,1,26,1,1,3,3,3,0,3,0,1,1,1,7,10,2,3,1,1,6,5,0,0,6,0,1,0,0,3,0,0,1,0,0,6,0,0,0,0
39,28,30,21,21,16,27,27,48,33,24,23,37,31,21,16,18,25,17,27,10,24,21,27,12,15,12,13,20,17,12,13,14,19,24,10,33,22,25,16,16,9,10,9,14,3,15,15,26,7,14,1,11,9,8,7,3,5,5,30,7,6,1,5,5,1,12,13,18,2,9,1,4,11,2,8,0,4,6,26,7,2,0,1,2,2,2,0,1,26,1,5,1,0,3,3,0,1,1,1,1,0,0,1,15,1,1,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
38,26,31,19,20,17,25,30,50,27,17,23,32,33,22,14,22,16,20,19,21,27,18,29,15,15,13,15,20,16,2,15,14,29,19,18,34,10,20,17,11,10,14,26,12,22,13,16,36,8,18,1,6,6,29,13,4,13,12,29,3,10,3,15,0,11,14,4,21,9,4,2,5,5,18,18,0,11,14,9,4,9,5,5,36,11,7,0,4,41,2,6,2,11,0,11,0,5,0,14,12,0,0,6,8,4,9,4,0,0,10,0,8,17,0,8,0,4,0,0,0,10,0,8,0,0,0
